Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFU24,94.8,94.805,94.805,94.805,
2024-08-19 06:19:25,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:19:40,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:19:54,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:20:09,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:20:23,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:20:38,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:20:52,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:21:06,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:21:21,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:21:35,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:21:49,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:22:04,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:22:18,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:22:33,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:22:47,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:23:02,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:23:16,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:23:30,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:23:45,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:23:59,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:24:13,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:24:28,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:24:42,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:24:57,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:25:11,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:25:25,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:25:40,FFU24,94.805,94.81,94.81,94.805,
2024-08-19 06:25:54,FFU24,94.81,94.815,94.81,94.805,
2024-08-19 06:26:09,FFU24,94.81,94.815,94.81,94.805,
